Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
TCNO3;2,80;ON;21/02/2020;TECNOSOLO S/A ON;0,48;Construção e Engenharia;4,60;Engenharia Consultiva;667.930;18.536.000;30/09/2019;51.654.000;6.620.000;-14,82;-0,19;12,38;0,23;-2,71;19,7%;18,32;-677,0%;0,08;-123,6%;-;-3,0%;-;-;0,0%;-83,6%;-8,78;-;-7,54;-;-68,2%;0,00;231.079.000;33.119.000;1.000;33.118.000;39.754.000;1.497.000;0;-1.283.000;1.133.000
TCNO4;1,49;PN;21/02/2020;TECNOSOLO S/A PN;0,48;Construção e Engenharia;2,40;Engenharia Consultiva;695.608;9.863.800;30/09/2019;42.981.800;6.620.000;-7,88;-0,19;6,59;0,23;-1,44;19,7%;9,75;-677,0%;0,04;-123,6%;-;-3,0%;-;-;0,0%;-83,6%;-7,31;-;-6,27;-;-68,2%;0,00;231.079.000;33.119.000;1.000;33.118.000;39.754.000;1.497.000;0;-1.283.000;1.133.000
TCSA3;1,69;ON NM;21/02/2020;TECNISA ON NM;1,15;Construção e Engenharia;2,19;Construção Civil;65.167.700;1.244.160.000;30/09/2019;1.291.130.000;736.192.000;-4,74;-0,36;1,24;1,36;-24,27;9,7%;3,89;-16,0%;0,66;-83,6%;3,68;-2,7%;-15,78;-3,3%;0,0%;-26,2%;-29,42;1,72;-25,18;0,39;-32,8%;0,17;1.893.360.000;388.924.000;341.958.000;46.966.000;806.370.000;1.000.390.000;74.614.000;-25.183.000;-52.054.000
TECN3;2,77;ON NM;21/02/2020;TECHNOS ON NM;2,00;Tecidos, Vestuário e Calçados;4,07;Acessórios;2.188.140;217.462.000;30/09/2019;260.414.000;78.506.000;-9,30;-0,30;0,52;5,32;-11,65;34,8%;0,68;-5,8%;0,28;-7,3%;0,87;-2,4%;6,20;-3,1%;0,0%;-5,6%;-8,69;2,64;-13,95;0,30;-6,8%;0,41;783.533.000;125.814.000;82.862.000;42.952.000;400.715.000;417.917.000;72.978.000;-3.398.000;-2.570.000
TEKA3;13,70;ON;05/02/2020;TEKA S.A. ON;6,51;Tecidos, Vestuário e Calçados;16,80;Fios e Tecidos;5.210;6.891.100;30/09/2019;463.374.000;503.000;-0,07;-199,23;-0,00;-3.068,88;-0,48;13,6%;0,05;-9,6%;0,01;-67,5%;-0,00;-1,5%;-0,00;-2,3%;0,0%;6,5%;-52,45;0,02;-32,57;-0,30;0,3%;0,15;971.334.000;456.620.000;137.000;456.483.000;53.133.000;-1.543.650.000;35.488.000;-3.506.000;-33.618.000
TEKA4;7,50;PN;21/02/2020;TEKA S.A. PN;6,38;Tecidos, Vestuário e Calçados;10,00;Fios e Tecidos;73.914;3.772.500;30/09/2019;460.256.000;503.000;-0,04;-199,23;-0,00;-3.068,88;-0,27;13,6%;0,03;-9,6%;0,00;-67,5%;-0,00;-1,5%;-0,00;-2,3%;0,0%;6,5%;-52,09;0,02;-32,36;-0,30;0,3%;0,15;971.334.000;456.620.000;137.000;456.483.000;53.133.000;-1.543.650.000;35.488.000;-3.506.000;-33.618.000
TELB3;94,50;ON;17/02/2020;TELEBRAS ON;22,75;Outros;294,12;Outros;38.401;4.687.670.000;30/09/2019;4.888.840.000;49.605.000;-42,39;-2,23;137,70;0,69;-108,35;-102,1%;103,09;-95,1%;1,34;-243,2%;36,05;-1,2%;-1,51;-1,3%;0,0%;-324,8%;197,86;1,62;-113,00;8,08;3,2%;0,01;3.486.470.000;275.018.000;73.853.000;201.165.000;340.422.000;34.044.000;58.892.000;-65.712.000;-107.867.000
TELB4;26,70;PN;21/02/2020;TELEBRAS PN;22,78;Outros;70,58;Outros;388.899;1.324.450.000;30/09/2019;1.525.620.000;49.605.000;-11,98;-2,23;38,90;0,69;-30,61;-102,1%;29,13;-95,1%;0,38;-243,2%;10,18;-1,2%;-0,43;-1,3%;0,0%;-324,8%;61,75;1,62;-35,26;8,08;3,2%;0,01;3.486.470.000;275.018.000;73.853.000;201.165.000;340.422.000;34.044.000;58.892.000;-65.712.000;-107.867.000
TEND3;39,58;ON NM;21/02/2020;Tenda ON NM;15,92;Construção e Engenharia;39,58;Construção Civil;59.115.200;4.129.940.000;30/09/2019;3.898.430.000;104.344.000;17,55;2,26;3,17;12,49;11,57;34,3%;2,22;19,2%;1,30;12,7%;2,63;11,3%;15,74;16,8%;1,5%;18,1%;10,12;3,83;10,93;0,57;24,2%;0,59;3.164.920.000;744.830.000;976.331.000;-231.501.000;2.122.980.000;1.303.330.000;508.543.000;90.089.000;64.646.000
TESA3;20,80;ON NM;21/02/2020;TERRA SANTA ON NM;13,00;Agropecuária;24,50;Agricultura;802.788;450.112.000;30/09/2019;1.353.010.000;21.640.000;-29,25;-0,71;0,47;44,46;13,64;9,9%;0,42;3,1%;0,18;-1,4%;-21,02;1,3%;-0,53;1,4%;0,0%;-1,6%;16,45;0,97;41,00;0,96;5,8%;0,43;2.499.430.000;926.427.000;23.528.000;902.899.000;693.886.000;962.097.000;255.719.000;11.050.000;-53.337.000
TGMA3;39,25;ON NM;21/02/2020;Tegma ON NM;23,65;Transporte;41,27;Transporte Rodoviário;12.355.400;2.590.620.000;30/09/2019;2.703.830.000;66.003.000;13,97;2,81;4,48;8,75;9,83;21,6%;1,94;19,7%;2,61;13,9%;13,63;26,5%;61,83;31,0%;4,0%;32,1%;9,33;1,71;10,26;0,39;4,9%;1,35;993.224.000;225.321.000;112.108.000;113.213.000;457.387.000;577.735.000;340.723.000;100.076.000;91.392.000
TIET11;15,57;UNT N2;21/02/2020;AES TIETE E UNT N2;9,97;Energia Elétrica;16,90;Energia Elétrica;32.333.200;6.214.090.000;30/09/2019;9.153.390.000;1.995.530.000;20,75;0,75;4,06;3,83;8,62;36,2%;3,13;36,2%;0,79;15,1%;24,20;9,2%;-1,38;13,4%;5,3%;19,6%;8,98;1,16;12,70;2,76;-39,5%;0,25;7.864.910.000;4.224.760.000;1.285.460.000;2.939.300.000;1.816.250.000;1.529.330.000;525.015.000;187.442.000;97.109.000
TIET3;3,67;ON N2;21/02/2020;AES TIETE E ON N2;2,04;Energia Elétrica;4,30;Energia Elétrica;1.010.160;7.323.610.000;30/09/2019;10.262.900.000;1.995.530.000;24,46;0,15;4,79;0,77;10,16;36,2%;3,68;36,2%;0,93;15,1%;28,52;9,2%;-1,62;13,4%;4,5%;19,6%;10,07;1,16;14,24;2,76;-39,5%;0,25;7.864.910.000;4.224.760.000;1.285.460.000;2.939.300.000;1.816.250.000;1.529.330.000;525.015.000;187.442.000;97.109.000
TIET4;2,98;PN N2;21/02/2020;AES TIETE E PN N2;1,99;Energia Elétrica;3,17;Energia Elétrica;1.639.170;5.946.690.000;30/09/2019;8.885.990.000;1.995.530.000;19,86;0,15;3,89;0,77;8,25;36,2%;2,99;36,2%;0,76;15,1%;23,15;9,2%;-1,32;13,4%;5,5%;19,6%;8,72;1,16;12,33;2,76;-39,5%;0,25;7.864.910.000;4.224.760.000;1.285.460.000;2.939.300.000;1.816.250.000;1.529.330.000;525.015.000;187.442.000;97.109.000
TIMP3;17,06;ON;21/02/2020;TIM PARTICIPAÇÕES S.A. ON;10,26;Telefonia Móvel;17,49;Telefonia Móvel;111.596.000;41.302.800.000;31/12/2019;40.392.600.000;2.421.030.000;11,40;1,50;1,84;9,27;12,75;57,2%;2,38;18,6%;1,02;20,8%;122,69;8,0%;-4,36;9,7%;2,4%;16,1%;4,83;1,04;12,47;0,09;1,1%;0,43;40.348.900.000;2.029.090.000;2.939.290.000;-910.201.000;8.454.130.000;22.431.800.000;4.586.560.000;1.298.190.000;918.312.000
TOTS3;83,03;ON NM;21/02/2020;TOTVS ON NM;33,71;Programas e Serviços;83,72;Programas e Serviços;167.513.000;15.994.700.000;31/12/2019;14.907.200.000;192.638.000;76,24;1,09;6,46;12,86;18,29;67,4%;7,01;38,3%;4,52;9,2%;12,32;24,7%;16,89;45,2%;0,5%;8,5%;14,59;2,84;17,05;0,18;4,3%;0,65;3.535.930.000;450.676.000;1.538.160.000;-1.087.480.000;2.004.270.000;2.477.210.000;579.292.000;214.607.000;53.416.000
TPIS3;1,80;ON NM;21/02/2020;TRIUNFO PARTICIPACOES SA ON NM;1,27;Transporte;2,41;Exploração de Rodovias;3.647.450;316.800.000;30/09/2019;2.206.430.000;176.000.000;-0,61;-2,93;0,46;3,89;-8,71;13,1%;0,32;-3,7%;0,09;-54,8%;-0,19;-1,0%;-0,12;-1,0%;0,0%;-75,5%;6,65;0,12;-60,68;2,89;-19,3%;0,27;3.688.990.000;1.978.000.000;88.376.000;1.889.630.000;223.817.000;684.212.000;265.633.000;334.000;-70.409.000
TRIS3;16,49;ON NM;21/02/2020;Trisul ON NM;4,45;Construção e Engenharia;17,10;Construção Civil;28.122.000;3.077.330.000;30/09/2019;2.900.060.000;186.618.000;26,32;0,63;2,97;5,55;21,91;34,6%;4,21;19,2%;1,82;17,4%;2,79;8,3%;3,55;12,5%;0,6%;11,3%;20,46;3,99;20,64;0,34;19,4%;0,43;1.693.080.000;354.652.000;531.927.000;-177.275.000;1.470.100.000;1.036.050.000;218.405.000;46.852.000;42.577.000
TRPL3;27,84;ON N1;21/02/2020;TRANSMISSÃO PAULISTA ON N1;19,01;Energia Elétrica;29,90;Energia Elétrica;115.108;18.343.300.000;30/09/2019;20.339.300.000;658.883.000;9,38;2,97;1,54;18,14;7,83;74,4%;5,31;67,8%;0,92;57,0%;8,88;11,7%;-4,39;12,5%;5,4%;16,4%;8,61;2,33;8,68;0,27;9,7%;0,17;20.014.300.000;3.200.550.000;1.204.540.000;1.996.010.000;3.614.360.000;11.949.600.000;736.826.000;411.346.000;435.077.000
TRPL4;22,45;PN N1;21/02/2020;TRANSMISSÃO PAULISTA PN N1;17,75;Energia Elétrica;24,79;Energia Elétrica;36.563.400;14.791.900.000;30/09/2019;16.787.900.000;658.883.000;7,57;2,97;1,24;18,14;6,31;74,4%;4,28;67,8%;0,74;57,0%;7,16;11,7%;-3,54;12,5%;6,7%;16,4%;7,11;2,33;7,16;0,27;9,7%;0,17;20.014.300.000;3.200.550.000;1.204.540.000;1.996.010.000;3.614.360.000;11.949.600.000;736.826.000;411.346.000;435.077.000
TUPY3;24,51;ON;21/02/2020;TUPY ON;16,70;Material de Transporte;26,77;Material Rodoviário;17.857.100;3.533.800.000;30/09/2019;4.430.190.000;144.178.000;12,43;1,97;1,51;16,22;7,92;16,1%;0,67;8,5%;0,68;5,4%;2,56;8,6%;-12,53;11,3%;4,6%;12,2%;5,83;2,15;9,93;0,64;13,2%;1,01;5.196.260.000;1.507.580.000;611.186.000;896.392.000;2.575.270.000;2.338.990.000;1.339.130.000;141.418.000;66.481.000
TXRX3;8,51;ON;21/02/2020;RENAUX ON;3,02;Tecidos, Vestuário e Calçados;27,84;Fios e Tecidos;8.310;36.244.100;30/06/2019;228.798.000;4.259.000;41,00;0,21;-0,12;-71,74;13,58;28,1%;0,37;2,7%;0,21;0,9%;-0,13;1,5%;-0,08;2,4%;0,0%;-0,3%;29,14;0,16;85,76;-0,63;4,2%;0,56;175.122.000;192.643.000;89.000;192.554.000;52.440.000;-305.523.000;30.154.000;3.184.000;-3.451.000
TXRX4;7,02;PN;21/02/2020;RENAUX PN;2,11;Tecidos, Vestuário e Calçados;15,02;Fios e Tecidos;320.526;29.898.200;30/06/2019;222.452.000;4.259.000;33,82;0,21;-0,10;-71,74;11,21;28,1%;0,31;2,7%;0,17;0,9%;-0,11;1,5%;-0,07;2,4%;0,0%;-0,3%;28,33;0,16;83,38;-0,63;4,2%;0,56;175.122.000;192.643.000;89.000;192.554.000;52.440.000;-305.523.000;30.154.000;3.184.000;-3.451.000
UCAS3;5,65;ON NM;21/02/2020;UNICASA ON NM;2,34;Utilidades Domésticas;6,17;Móveis;2.874.420;373.386.000;30/09/2019;307.073.000;66.086.000;28,23;0,20;2,04;2,77;32,03;39,1%;2,55;8,0%;1,63;9,0%;4,19;5,1%;4,71;7,4%;7,8%;7,2%;15,07;3,45;26,34;-;-11,2%;0,64;228.814.000;0;66.313.000;-66.313.000;125.305.000;182.761.000;38.443.000;4.767.000;4.392.000
UGPA3;21,55;ON;21/02/2020;ULTRAPAR PARTICIPAÇÕES SA ON;15,58;Holdings Diversificadas;27,81;Holdings Diversificadas;147.685.000;23.981.100.000;31/12/2019;34.756.900.000;1.112.810.000;64,20;0,34;2,54;8,50;13,75;6,8%;0,27;2,0%;0,77;0,5%;2,43;5,6%;-3,81;7,5%;2,6%;3,9%;12,03;2,90;19,93;1,69;5,0%;2,86;31.195.500.000;15.981.400.000;5.205.590.000;10.775.800.000;15.058.100.000;9.458.250.000;23.662.800.000;504.323.000;-266.536.000
UNIP3;35,03;ON;21/02/2020;UNIPAR PARTICIPAÇÕES S.A. ON;28,10;Químicos;40,49;Petroquímicos;897.469;3.426.560.000;30/09/2019;3.661.490.000;97.818.000;16,47;2,13;2,59;13,54;7,01;29,2%;1,08;15,4%;0,94;6,3%;7,22;13,4%;-3,45;16,4%;0,7%;15,7%;5,60;1,61;7,49;0,58;49,4%;0,87;3.636.260.000;763.670.000;528.745.000;234.925.000;1.256.600.000;1.324.090.000;731.786.000;104.666.000;-12.593.000
UNIP5;34,01;PNA;21/02/2020;UNIPAR PARTICIPAÇÕES S.A. PNA;27,51;Químicos;41,60;Petroquímicos;62.311;3.326.790.000;30/09/2019;3.561.720.000;97.818.000;15,99;2,13;2,51;13,54;6,81;29,2%;1,05;15,4%;0,91;6,3%;7,01;13,4%;-3,35;16,4%;0,8%;15,7%;5,44;1,61;7,29;0,58;49,4%;0,87;3.636.260.000;763.670.000;528.745.000;234.925.000;1.256.600.000;1.324.090.000;731.786.000;104.666.000;-12.593.000
UNIP6;31,25;PNB;21/02/2020;UNIPAR PARTICIPAÇÕES S.A. PNB;27,21;Químicos;42,61;Petroquímicos;13.323.300;3.056.810.000;30/09/2019;3.291.740.000;97.818.000;14,70;2,13;2,31;13,54;6,25;29,2%;0,96;15,4%;0,84;6,3%;6,44;13,4%;-3,08;16,4%;0,9%;15,7%;5,03;1,61;6,74;0,58;49,4%;0,87;3.636.260.000;763.670.000;528.745.000;234.925.000;1.256.600.000;1.324.090.000;731.786.000;104.666.000;-12.593.000
USIM3;10,20;ON N1;21/02/2020;USIMINAS ON N1;8,49;Siderurgia e Metalurgia;12,13;Siderurgia;856.544;12.781.400.000;31/12/2019;15.966.500.000;1.253.080.000;59,93;0,17;0,91;11,21;11,03;12,5%;0,86;7,8%;0,49;2,5%;2,14;4,4%;-6,69;5,1%;0,7%;1,5%;7,42;3,07;13,77;0,36;13,3%;0,57;26.337.000.000;5.106.240.000;1.921.140.000;3.185.100.000;8.861.280.000;14.043.400.000;3.872.890.000;101.489.000;219.066.000
USIM5;9,17;PNA N1;21/02/2020;USIMINAS PNA N1;7,00;Siderurgia e Metalurgia;11,11;Siderurgia;193.011.000;11.490.700.000;31/12/2019;14.675.800.000;1.253.080.000;53,88;0,17;0,82;11,21;9,91;12,5%;0,77;7,8%;0,44;2,5%;1,92;4,4%;-6,02;5,1%;0,9%;1,5%;6,82;3,07;12,66;0,36;13,3%;0,57;26.337.000.000;5.106.240.000;1.921.140.000;3.185.100.000;8.861.280.000;14.043.400.000;3.872.890.000;101.489.000;219.066.000
USIM6;10,30;PNB N1;05/02/2020;USIMINAS PNB N1;7,00;Siderurgia e Metalurgia;11,49;Siderurgia;997;12.906.700.000;31/12/2019;16.091.800.000;1.253.080.000;60,52;0,17;0,92;11,21;11,13;12,5%;0,86;7,8%;0,49;2,5%;2,16;4,4%;-6,76;5,1%;0,8%;1,5%;7,48;3,07;13,88;0,36;13,3%;0,57;26.337.000.000;5.106.240.000;1.921.140.000;3.185.100.000;8.861.280.000;14.043.400.000;3.872.890.000;101.489.000;219.066.000
VALE3;50,13;ON NM;21/02/2020;VALE ON NM;41,86;Mineração;57,36;Minerais Metálicos;1.149.640.000;264.911.000.000;31/12/2019;295.126.000.000;5.284.470.000;-39,71;-1,26;1,64;30,56;4,21;43,6%;1,78;42,3%;0,72;-5,9%;20,55;17,0%;-1,84;19,4%;2,8%;-4,1%;3,80;1,23;4,69;0,37;15,7%;0,40;369.670.000.000;59.842.700.000;29.627.100.000;30.215.600.000;68.697.500.000;161.480.000.000;41.018.700.000;17.267.600.000;-6.406.970.000
VIVA3;31,00;ON NM;21/02/2020;VIVARA S.A. ON NM;22,77;Tecidos, Vestuário e Calçados;32,71;Acessórios;42.756.200;7.322.140.000;30/09/2019;7.514.230.000;236.198.000;0,00;0,00;12,11;2,56;-;-;-;-;5,79;-;18,51;0,0%;107,28;-;0,5%;-;-;2,19;-;0,46;-;-;1.265.390.000;280.413.000;88.320.100;192.093.000;729.112.000;604.529.000;240.334.000;51.660.600;39.570.100
VIVR3;2,60;ON NM;21/02/2020;VIVER ON NM;1,42;Construção e Engenharia;5,00;Construção Civil;5.830.080;121.087.000;30/09/2019;367.637.000;46.572.000;-0,48;-5,43;-1,31;-1,99;-1,32;148,9%;-3,07;232,1%;0,22;644,1%;-0,49;-16,5%;-0,27;-17,1%;0,0%;273,3%;-4,18;0,44;-4,02;-2,71;-43,6%;-0,07;553.725.000;251.258.000;4.708.000;246.550.000;191.755.000;-92.585.000;-48.521.000;-22.822.000;-80.017.000
VIVT3;52,59;ON;21/02/2020;TELEF BRASIL ON;39,38;Telefonia Fixa;54,88;Telefonia Fixa;2.425.170;88.928.900.000;31/12/2019;99.360.200.000;1.690.980.000;17,78;2,96;1,26;41,67;12,87;49,9%;2,01;15,6%;0,82;11,3%;97,45;6,4%;-4,63;7,0%;6,4%;7,1%;5,57;1,05;14,38;0,20;2,1%;0,41;108.290.000.000;13.824.700.000;3.393.380.000;10.431.300.000;18.644.700.000;70.455.600.000;11.376.900.000;1.771.600.000;1.274.250.000
VIVT4;56,85;PN;21/02/2020;TELEF BRASIL PN;42,82;Telefonia Fixa;61,28;Telefonia Fixa;96.938.200;96.132.500.000;31/12/2019;106.564.000.000;1.690.980.000;19,22;2,96;1,36;41,67;13,91;49,9%;2,17;15,6%;0,89;11,3%;105,34;6,4%;-5,01;7,0%;6,5%;7,1%;5,98;1,05;15,42;0,20;2,1%;0,41;108.290.000.000;13.824.700.000;3.393.380.000;10.431.300.000;18.644.700.000;70.455.600.000;11.376.900.000;1.771.600.000;1.274.250.000
VLID3;17,85;ON NM;21/02/2020;VALID ON NM;10,62;Serviços;19,77;Serviços Diversos;14.510.100;1.271.370.000;30/09/2019;1.953.130.000;71.225.000;13,42;1,33;1,10;16,30;6,80;22,2%;0,67;9,8%;0,49;5,0%;2,17;7,2%;-4,72;9,0%;3,9%;8,2%;6,16;2,02;10,44;0,88;3,9%;0,73;2.610.680.000;1.024.130.000;342.365.000;681.761.000;1.160.910.000;1.160.780.000;569.035.000;67.795.000;31.642.000
VULC3;8,65;ON;21/02/2020;VULCABRAS S/A. ON;5,71;Tecidos, Vestuário e Calçados;9,34;Calçados;7.134.540;2.125.790.000;30/09/2019;2.115.310.000;245.756.000;14,75;0,59;2,04;4,24;15,10;35,2%;1,59;10,5%;1,54;10,8%;3,48;10,2%;4,43;11,3%;0,0%;13,8%;9,65;3,91;15,03;0,04;10,2%;0,97;1.381.920.000;44.639.000;55.123.000;-10.484.000;819.383.000;1.042.570.000;359.355.000;38.229.000;41.807.000
VVAR3;16,64;ON;21/02/2020;VIAVAREJO ON;3,84;Comércio;16,64;Eletrodomésticos;574.497.000;21.631.400.000;30/09/2019;25.829.400.000;1.299.970.000;-25,21;-0,66;14,68;1,13;18,86;27,9%;0,85;4,5%;0,99;-3,4%;-5,44;5,3%;-2,26;7,7%;0,0%;-58,2%;14,12;0,73;22,52;3,80;8,7%;1,17;21.808.000.000;5.603.000.000;1.405.000.000;4.198.000.000;10.770.000.000;1.474.000.000;5.688.000.000;115.000.000;-383.000.000
WEGE3;49,80;ON N1;21/02/2020;WEG SA ON N1;17,30;Máquinas e Equipamentos;49,80;Motores, Compressores e Outros;220.979.000;104.513.000.000;31/12/2019;103.408.000.000;2.098.660.000;64,73;0,77;11,99;4,15;48,57;29,6%;7,83;16,1%;6,66;12,2%;19,83;13,7%;34,80;18,8%;0,9%;18,5%;40,58;2,17;48,06;0,26;9,1%;0,85;15.687.600.000;2.284.970.000;3.390.270.000;-1.105.300.000;9.760.900.000;8.717.250.000;3.778.850.000;650.347.000;500.487.000
WHRL3;8,66;ON;21/02/2020;WHIRLPOOL S.A. ON;3,69;Utilidades Domésticas;10,14;Eletrodomésticos;43.867;13.014.100.000;30/09/2019;12.801.100.000;1.502.790.000;8,02;1,08;4,57;1,89;50,69;13,6%;1,97;3,9%;1,85;24,5%;96,23;3,7%;-26,22;6,2%;6,0%;57,0%;30,06;1,04;49,86;0,18;-9,6%;0,94;7.025.140.000;499.264.000;712.341.000;-213.077.000;3.681.730.000;2.846.050.000;1.693.660.000;68.688.000;1.086.860.000
WHRL4;9,27;PN;21/02/2020;WHIRLPOOL S.A. PN;3,85;Utilidades Domésticas;10,84;Eletrodomésticos;298.638;13.930.800.000;30/09/2019;13.717.700.000;1.502.790.000;8,58;1,08;4,89;1,89;54,26;13,6%;2,11;3,9%;1,98;24,5%;103,01;3,7%;-28,07;6,2%;6,2%;57,0%;32,22;1,04;53,43;0,18;-9,6%;0,94;7.025.140.000;499.264.000;712.341.000;-213.077.000;3.681.730.000;2.846.050.000;1.693.660.000;68.688.000;1.086.860.000
WIZS3;14,73;ON NM;21/02/2020;WIZ S.A. ON NM;6,90;Previdência e Seguros;16,32;Corretoras de Seguros;14.328.700;2.355.430.000;31/12/2019;2.309.840.000;159.907.000;11,01;1,34;12,59;1,17;6,12;71,9%;3,45;56,5%;4,02;32,8%;-19,46;65,7%;-9,24;77,3%;7,5%;114,3%;5,44;0,53;6,00;0,00;17,7%;1,16;586.297.000;165.000;45.760.000;-45.595.000;134.475.000;187.057.000;183.179.000;105.125.000;48.313.000
WLMM3;16,56;ON;21/02/2020;WLM ON;5,50;Comércio;16,99;Material de Transporte;5.036;603.027.000;30/09/2019;568.543.000;36.414.700;17,70;0,94;1,45;11,39;18,03;14,2%;0,57;3,2%;1,15;3,2%;4,41;6,4%;6,77;7,3%;1,1%;8,2%;15,37;3,15;17,00;0,02;17,7%;2,01;526.430.000;9.494.000;43.978.000;-34.484.000;200.420.000;414.642.000;362.489.000;14.302.000;14.043.000
WLMM4;20,47;PN;21/02/2020;WLM PN;5,17;Comércio;20,47;Material de Transporte;60.113;745.408.000;30/09/2019;710.924.000;36.414.700;21,87;0,94;1,80;11,39;22,29;14,2%;0,71;3,2%;1,42;3,2%;5,45;6,4%;8,37;7,3%;1,0%;8,2%;19,21;3,15;21,26;0,02;17,7%;2,01;526.430.000;9.494.000;43.978.000;-34.484.000;200.420.000;414.642.000;362.489.000;14.302.000;14.043.000
WSON33;49,50;DR3;21/02/2020;Wilson Sons DR3;32,33;Transporte;49,97;Serviços de Apoio e Armazenagem;2.328.580;3.525.390.000;30/09/2019;5.322.730.000;71.220.000;28,13;1,76;1,75;28,34;6,35;41,7%;2,19;34,5%;0,77;8,1%;29,25;12,2%;-1,82;13,5%;4,3%;6,2%;9,59;1,25;9,59;1,00;-0,5%;0,35;4.566.060.000;2.022.490.000;225.145.000;1.797.340.000;607.807.000;2.018.430.000;421.350.000;185.218.000;24.124.000
YDUQ3;56,00;ON;21/02/2020;YDUQS PART ON;24,70;Diversos;56,60;Educacional;142.369.000;17.309.000.000;30/09/2019;18.343.500.000;309.089.000;28,64;1,96;5,42;10,33;21,37;55,9%;4,82;22,6%;3,02;16,8%;17,64;14,1%;-19,59;17,1%;0,9%;18,9%;15,99;2,44;22,65;0,60;6,1%;0,63;5.740.260.000;1.900.290.000;865.770.000;1.034.520.000;1.664.540.000;3.192.040.000;833.138.000;199.841.000;152.511.000
